tf-epoch,tf-f1,tf-pth
22,05635,20220301050501.pth
33,05615,20220301061431.pth
40,05624,20220301065846.pth
42,05617,20220301071125.pth
44,05708,20220301072403.pth
48,05737,20220301074922.pth
49,05650,20220301075542.pth
50,05675,20220301080203.pth
52,05677,20220301081444.pth
53,05668,20220301082103.pth
54,05633,20220301082723.pth
55,05646,20220301083342.pth
56,05681,20220301084001.pth
58,05637,20220301085243.pth
60,05675,20220301090520.pth
63,05621,20220301092420.pth
64,05799,20220301093040.pth
65,05775,20220301093659.pth
67,05768,20220301094941.pth
68,05736,20220301095602.pth
69,05749,20220301100220.pth
70,05794,20220301100838.pth
71,05679,20220301101457.pth
72,05754,20220301102117.pth
73,05753,20220301102735.pth
74,05685,20220301103353.pth
75,05728,20220301104011.pth
76,05769,20220301104630.pth
77,05711,20220301105250.pth
79,05704,20220301110530.pth
80,05665,20220301111148.pth
81,05683,20220301111807.pth
82,05670,20220301112428.pth
83,05677,20220301113047.pth
84,05719,20220301113707.pth
85,05796,20220301114328.pth
86,05669,20220301114946.pth
87,05679,20220301115605.pth
88,05737,20220301120224.pth
89,05709,20220301120844.pth
90,05690,20220301121504.pth
91,05728,20220301122122.pth
92,05698,20220301122741.pth
93,05763,20220301123401.pth
94,05730,20220301124020.pth
95,05700,20220301124638.pth
96,05769,20220301125255.pth
97,05676,20220301125913.pth
98,05820,20220301130532.pth
99,05649,20220301131151.pth
