tt-epochs,tt-f1,tt-pth
27,05666,20220301161047.pth
33,05655,20220301164850.pth
35,05632,20220301170136.pth
39,05615,20220301172704.pth
45,05618,20220301180511.pth
47,05780,20220301181755.pth
48,05673,20220301182416.pth
50,05703,20220301183703.pth
53,05716,20220301185611.pth
54,05752,20220301190233.pth
55,05693,20220301190855.pth
57,05666,20220301192141.pth
58,05739,20220301192802.pth
59,05806,20220301193423.pth
60,05617,20220301194046.pth
62,05675,20220301195333.pth
63,05709,20220301195957.pth
64,05733,20220301200621.pth
66,05786,20220301201905.pth
68,05728,20220301203150.pth
69,05761,20220301203810.pth
70,05679,20220301204431.pth
71,05764,20220301205052.pth
72,05747,20220301205713.pth
73,05783,20220301210336.pth
74,05805,20220301210958.pth
75,05789,20220301211621.pth
76,05730,20220301212243.pth
77,05737,20220301212906.pth
78,05710,20220301213528.pth
79,05717,20220301214152.pth
80,05720,20220301214812.pth
81,05710,20220301215433.pth
82,05700,20220301220056.pth
83,05745,20220301220717.pth
84,05687,20220301221340.pth
85,05632,20220301222002.pth
86,05666,20220301222619.pth
87,05797,20220301223236.pth
88,05698,20220301223850.pth
89,05747,20220301224506.pth
90,05755,20220301225121.pth
91,05686,20220301225744.pth
92,05758,20220301230405.pth
93,05732,20220301231027.pth
94,05687,20220301231644.pth
95,05631,20220301232307.pth
97,05798,20220301233552.pth
98,05828,20220301234212.pth
99,05690,20220301234831.pth
