call-detector,mixup-alpha,secondary-label-weights,valid2020,freefield1010,grouped-by-author,cnn,epoch,f1-score,timestamp
nc,0.5,0.6,0,0,0,resnest50,76,0.5472,20220306025541.pth
nc,0.5,0.6,0,0,0,resnest50,69,0.5432,20220306021412.pth
nc,0.5,0.6,0,0,0,resnest50,90,0.5408,20220306041817.pth
nc,0.5,0.6,0,0,0,resnest50,56,0.5404,20220306005728.pth
nc,0.5,0.6,0,0,0,resnest50,53,0.5399,20220306003951.pth
nc,0.5,0.6,0,0,0,resnest50,42,0.5371,20220305233518.pth
nc,0.5,0.6,0,0,0,resnest50,85,0.5365,20220306034853.pth
nc,0.5,0.6,0,0,0,resnest50,70,0.536,20220306022005.pth
nc,0.5,0.6,0,0,0,resnest50,94,0.5359,20220306044146.pth
nc,0.5,0.6,0,0,0,resnest50,97,0.5359,20220306045923.pth
nc,0.5,0.6,0,0,0,resnest50,81,0.5355,20220306032514.pth
nc,0.5,0.6,0,0,0,resnest50,92,0.5352,20220306043003.pth
nc,0.5,0.6,0,0,0,resnest50,86,0.535,20220306035446.pth
nc,0.5,0.6,0,0,0,resnest50,44,0.5343,20220305234700.pth
nc,0.5,0.6,0,0,0,resnest50,73,0.5331,20220306023754.pth
nc,0.5,0.6,0,0,0,resnest50,82,0.5328,20220306033110.pth
nc,0.5,0.6,0,0,0,resnest50,57,0.5324,20220306010324.pth
nc,0.5,0.6,0,0,0,resnest50,91,0.5321,20220306042411.pth
nc,0.5,0.6,0,0,0,resnest50,80,0.5319,20220306031922.pth
nc,0.5,0.6,0,0,0,resnest50,66,0.5316,20220306015630.pth
nc,0.5,0.6,0,0,0,resnest50,95,0.5315,20220306044738.pth
nc,0.5,0.6,0,0,0,resnest50,41,0.5314,20220305232926.pth
nc,0.5,0.6,0,0,0,resnest50,87,0.5305,20220306040040.pth
nc,0.5,0.6,0,0,0,resnest50,84,0.529,20220306034258.pth
nc,0.5,0.6,0,0,0,resnest50,65,0.5288,20220306015038.pth
nc,0.5,0.6,0,0,0,resnest50,71,0.5286,20220306022600.pth
nc,0.5,0.6,0,0,0,resnest50,61,0.5284,20220306012654.pth
nc,0.5,0.6,0,0,0,resnest50,64,0.5284,20220306014443.pth
nc,0.5,0.6,0,0,0,resnest50,48,0.5282,20220306001029.pth
nc,0.5,0.6,0,0,0,resnest50,98,0.5277,20220306050519.pth
nc,0.5,0.6,0,0,0,resnest50,58,0.5275,20220306010917.pth
nc,0.5,0.6,0,0,0,resnest50,74,0.5269,20220306024348.pth
nc,0.5,0.6,0,0,0,resnest50,49,0.5268,20220306001623.pth
nc,0.5,0.6,0,0,0,resnest50,83,0.5264,20220306033705.pth
nc,0.5,0.6,0,0,0,resnest50,60,0.5263,20220306012100.pth
nc,0.5,0.6,0,0,0,resnest50,88,0.5259,20220306040633.pth
nc,0.5,0.6,0,0,0,resnest50,79,0.5258,20220306031330.pth
nc,0.5,0.6,0,0,0,resnest50,75,0.5249,20220306024944.pth
nc,0.5,0.6,0,0,0,resnest50,62,0.5248,20220306013249.pth
nc,0.5,0.6,0,0,0,resnest50,51,0.5247,20220306002806.pth
nc,0.5,0.6,0,0,0,resnest50,31,0.5245,20220305223039.pth
nc,0.5,0.6,0,0,0,resnest50,96,0.524,20220306045333.pth
nc,0.5,0.6,0,0,0,resnest50,68,0.5236,20220306020817.pth
nc,0.5,0.6,0,0,0,resnest50,72,0.523,20220306023158.pth
nc,0.5,0.6,0,0,0,resnest50,37,0.5226,20220305230559.pth
nc,0.5,0.6,0,0,0,resnest50,99,0.5226,20220306051115.pth
nc,0.5,0.6,0,0,0,resnest50,55,0.5225,20220306005134.pth
nc,0.5,0.6,0,0,0,resnest50,77,0.5221,20220306030137.pth
nc,0.5,0.6,0,0,0,resnest50,93,0.522,20220306043556.pth
nc,0.5,0.6,0,0,0,resnest50,89,0.5206,20220306041226.pth
nc,5,0.6,0,0,0,resnest50,41,0.5294,20220304180439.pth
nc,5,0.6,0,0,0,resnest50,42,0.5289,20220304181023.pth
nc,5,0.6,0,0,0,resnest50,46,0.5286,20220304183313.pth
nc,5,0.6,0,0,0,resnest50,50,0.5375,20220304185606.pth
nc,5,0.6,0,0,0,resnest50,52,0.5307,20220304190734.pth
nc,5,0.6,0,0,0,resnest50,54,0.5373,20220304191900.pth
nc,5,0.6,0,0,0,resnest50,55,0.5328,20220304192443.pth
nc,5,0.6,0,0,0,resnest50,56,0.5364,20220304193026.pth
nc,5,0.6,0,0,0,resnest50,57,0.551,20220304193608.pth
nc,5,0.6,0,0,0,resnest50,58,0.5429,20220304194151.pth
nc,5,0.6,0,0,0,resnest50,59,0.538,20220304194734.pth
nc,5,0.6,0,0,0,resnest50,60,0.5481,20220304195318.pth
nc,5,0.6,0,0,0,resnest50,61,0.5375,20220304195901.pth
nc,5,0.6,0,0,0,resnest50,62,0.5329,20220304200445.pth
nc,5,0.6,0,0,0,resnest50,63,0.5484,20220304201026.pth
nc,5,0.6,0,0,0,resnest50,64,0.5324,20220304201606.pth
nc,5,0.6,0,0,0,resnest50,65,0.5292,20220304202148.pth
nc,5,0.6,0,0,0,resnest50,67,0.5378,20220304203315.pth
nc,5,0.6,0,0,0,resnest50,68,0.5331,20220304203858.pth
nc,5,0.6,0,0,0,resnest50,69,0.544,20220304204441.pth
nc,5,0.6,0,0,0,resnest50,70,0.5435,20220304205022.pth
nc,5,0.6,0,0,0,resnest50,71,0.5414,20220304205605.pth
nc,5,0.6,0,0,0,resnest50,72,0.5379,20220304210148.pth
nc,5,0.6,0,0,0,resnest50,73,0.5403,20220304210730.pth
nc,5,0.6,0,0,0,resnest50,74,0.538,20220304211313.pth
nc,5,0.6,0,0,0,resnest50,75,0.5402,20220304211857.pth
nc,5,0.6,0,0,0,resnest50,76,0.5467,20220304212443.pth
nc,5,0.6,0,0,0,resnest50,77,0.5482,20220304213026.pth
nc,5,0.6,0,0,0,resnest50,78,0.548,20220304213611.pth
nc,5,0.6,0,0,0,resnest50,79,0.5487,20220304214152.pth
nc,5,0.6,0,0,0,resnest50,80,0.5476,20220304214736.pth
nc,5,0.6,0,0,0,resnest50,81,0.5455,20220304215317.pth
nc,5,0.6,0,0,0,resnest50,82,0.5466,20220304215859.pth
nc,5,0.6,0,0,0,resnest50,83,0.5383,20220304220445.pth
nc,5,0.6,0,0,0,resnest50,84,0.547,20220304221029.pth
nc,5,0.6,0,0,0,resnest50,85,0.5498,20220304221613.pth
nc,5,0.6,0,0,0,resnest50,86,0.5433,20220304222157.pth
nc,5,0.6,0,0,0,resnest50,87,0.5507,20220304222736.pth
nc,5,0.6,0,0,0,resnest50,88,0.5478,20220304223319.pth
nc,5,0.6,0,0,0,resnest50,89,0.5406,20220304223901.pth
nc,5,0.6,0,0,0,resnest50,90,0.5403,20220304224444.pth
nc,5,0.6,0,0,0,resnest50,91,0.5491,20220304225026.pth
nc,5,0.6,0,0,0,resnest50,92,0.5554,20220304225616.pth
nc,5,0.6,0,0,0,resnest50,93,0.5427,20220304230157.pth
nc,5,0.6,0,0,0,resnest50,94,0.5426,20220304230740.pth
nc,5,0.6,0,0,0,resnest50,95,0.5507,20220304231323.pth
nc,5,0.6,0,0,0,resnest50,96,0.5499,20220304231908.pth
nc,5,0.6,0,0,0,resnest50,97,0.5448,20220304232450.pth
nc,5,0.6,0,0,0,resnest50,98,0.5451,20220304233033.pth
nc,5,0.6,0,0,0,resnest50,99,0.5505,20220304233617.pth
nc,5,0.6,0,0,1,resnest50,47,0.3771,20220305040720.pth
nc,5,0.6,0,0,1,resnest50,48,0.3836,20220305041256.pth
