model,data_config,start_epoch,start_date,start_time,end_epoch,end_date,end_time,diff_epoch,diff_date,diff_time,final-diff,rate_epoch_per_time,dummy,secs,,,,
resnest26,ff,29,2.2.22,3:06:03,99,2.2.22,8:13:02,70,0,5:06:59,5:06:59,0:04:23,24:00:00,263,,,,
resnest26,ft,29,4.2.22,8:33:23,99,4.2.22,13:32:13,70,0,4:58:50,4:58:50,0:04:16,24:00:00,256,,,,
resnest26,tf,26,3.2.22,3:59:39,99,3.2.22,9:46:50,73,0,5:47:11,5:47:11,0:04:45,24:00:00,285,,,,
resnest26,tt,28,5.2.22,10:24:07,99,5.2.22,15:53:58,71,0,5:29:51,5:29:51,0:04:39,24:00:00,279,,,,
resnest50,ff,31,1.2.22,18:19:29,99,2.2.22,0:54:52,68,1,17:24:37,6:35:23,0:05:49,24:00:00,349,,,,
resnest50,ft,37,4.2.22,0:30:08,99,4.2.22,6:25:21,62,0,5:55:13,5:55:13,0:05:44,24:00:00,344,,,,
resnest50,tf,22,2.2.22,17:46:38,99,3.2.22,1:53:39,77,1,15:52:59,8:07:01,0:06:19,24:00:00,379,,,,
resnest50,tt,33,5.2.22,1:17:54,99,5.2.22,8:09:26,66,0,6:51:32,6:51:32,0:06:14,24:00:00,374,,,,
efficientnet,ff,28,2.2.22,9:45:24,99,2.2.22,13:32:01,71,0,3:46:37,3:46:37,0:03:12,24:00:00,192,,,,
efficientnet,ft,29,4.2.22,15:04:51,98,4.2.22,18:38:22,69,0,3:33:31,3:33:31,0:03:06,24:00:00,186,,,,
efficientnet,tf,29,3.2.22,11:31:00,99,3.2.22,15:31:11,70,0,4:00:11,4:00:11,0:03:26,24:00:00,206,,,,
efficientnet,tt,26,5.2.22,17:24:31,99,5.2.22,21:31:29,73,0,4:06:58,4:06:58,0:03:23,24:00:00,203,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
