diversity,detector,size,private,public,runtime
low,nc,2,0.6635,0.7443,
low,nc,3,0.6619,0.7448,
low,nc,4,0.6612,0.7447,
low,nc,5,0.6609,0.7431,
low,nc,6,0.6609,0.7425,
low,nc,7,0.6606,0.7406,
low,nc,8,0.6606,0.7408,
low,nc,9,0.6602,0.7417,
low,nc,10,0.6624,0.7427,
low,nnc,1,0.3811,0.4075,
low,nnc,2,0.3877,0.4072,
low,nnc,3,0.3917,0.412,
low,nnc,4,0.3903,0.4117,
low,nnc,5,0.3917,0.4096,
low,nnc,6,0.3903,0.4106,
low,nnc,7,0.3909,0.4114,
low,nnc,8,0.3897,0.4108,
low,nnc,9,0.3892,0.41,
low,nnc,10,0.3898,0.4095,
low,nc-nnc,2,0.5376,0.613,
low,nc-nnc,4,0.5421,0.6018,
low,nc-nnc,6,0.5475,0.6129,
low,nc-nnc,8,0.5437,0.6108,
low,nc-nnc,10,0.5472,0.6017,
med,nc,1,0.6534,0.7313,
med,nc,2,0.6827,0.7447,
med,nc,3,0.6867,0.7512,
med,nc,4,0.6902,0.7577,
med,nc,5,0.6947,0.7585,
med,nc,6,0.6992,0.7501,
med,nc,7,0.701,0.7585,
med,nc,8,0.7028,0.7553,
med,nc,9,0.7038,0.7585,
med,nc,10,0.7045,0.7554,
med,nnc,1,0.3814,0.4069,
med,nnc,2,0.5173,0.5505,
med,nnc,3,0.5412,0.5717,
med,nnc,4,0.5375,0.5623,
med,nnc,5,0.5238,0.5454,
med,nnc,6,0.5532,0.5838,
med,nnc,7,0.5441,0.5672,
med,nnc,8,0.5293,0.5477,
med,nnc,9,0.5104,0.5322,
med,nnc,10,0.5009,0.5199,
high,nc,1,0.6534,0.7313,360.2
high,nc,2,0.6827,0.7447,447.8
high,nc,3,0.6867,0.7512,455.9
high,nc,4,0.6886,0.7576,386.3
high,nc,5,0.6886,0.7576,387.5
high,nc,6,0.6918,0.7551,394.3
high,nc,7,0.6932,0.7539,410.2
high,nc,8,0.6945,0.7505,402.5
high,nc,9,0.6792,0.7424,590.7
high,nc,10,0.6972,0.7535,430.2
high,nc,12,0.6955,0.7548,437.6
high,nc,14,0.6954,0.7557,455
high,nc,16,0.6963,0.7528,466.9
high,nc,18,0.6975,0.7532,566.5
high,nc,20,0.6959,0.7522,501.8
high,nc,22,0.6973,0.7517,539.5
high,nc,24,0.6965,0.7539,533.7
high,nc,26,0.696,0.7537,543.6
high,nc,28,0.6959,0.7527,580.8
high,nc,30,0.696,0.7511,580.3
high,nc,32,0.6964,0.7522,589.9
high,nc,34,0.696,0.7532,631.1
high,nc,36,0.6959,0.7526,617.3
high,nc,38,0.6959,0.7523,620.5
high,nc,40,0.6957,0.7529,659.7
high,nnc,1,0.3814,0.4069,362.7
high,nnc,2,0.5173,0.5505,440.6
high,nnc,3,0.5412,0.5717,384
high,nnc,4,0.5448,0.565,387.5
high,nnc,5,0.5837,0.5985,392.5
high,nnc,6,0.6143,0.6316,399.5
high,nnc,7,0.6336,0.6582,405.4
high,nnc,8,0.6317,0.6567,412.6
high,nnc,9,0.6226,0.6556,419.4
high,nnc,10,0.6339,0.672,422.8
high,nnc,12,0.6149,0.6533,449.5
high,nnc,14,0.6149,0.6532,455.4
high,nnc,16,0.6283,0.6553,574.6
high,nnc,18,0.6332,0.6601,502.4
high,nnc,20,0.6324,0.6615,495.4
high,nnc,22,0.6335,0.6673,517.2
high,nnc,24,0.6343,0.6703,527.3
high,nnc,26,0.6321,0.6699,548.3
high,nnc,28,0.6346,0.6631,557.1
high,nnc,30,0.6366,0.6632,632.6
high,nnc,32,0.6367,0.661,604.1
high,nnc,34,0.6356,0.6615,751.7
high,nnc,36,0.6344,0.664,637.8
high,nnc,38,0.6359,0.6628,664.5
high,nnc,40,0.6386,0.6631,692.2
